,Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Economy,Average,SR,5W,10W
105,Harshal Patel,Royal Challengers Bangalore,Right,Right-arm fast,BOWLER,48,20,7,128,36,9.85,93,137.63,0,0,0,5,9,48,46,926,1349,46,3/28,3/28,8.74,29.33,20.13,0,0
106,Kyle Jamieson,Royal Challengers Bangalore,Right,Right-arm fast,BOWLER,48,20,7,128,36,9.85,93,137.63,0,0,0,5,9,48,46,926,1349,46,3/28,3/28,8.74,29.33,20.13,0,0
107,Adam Zampa,Royal Challengers Bangalore,Right,Right-arm legbreak,BOWLER,14,2,0,5,5,2.5,8,62.5,0,0,0,1,0,14,14,287,370,21,6/19,6/19,7.74,17.62,13.67,1,0
108,Bhuvneshwar Kumar,Sunrisers Hyderabad,Right,Right-arm fast,BOWLER,121,44,19,183,24,7.32,194,94.33,0,0,0,17,3,121,121,2697,3253,136,5/19,5/19,7.24,23.92,19.83,1,0
109,Rashid Khan,Sunrisers Hyderabad,Right,Right-arm legbreak,BOWLER,62,25,9,139,34,8.69,93,149.46,0,0,0,8,11,62,62,1476,1537,75,3/7,3/7,6.25,20.49,19.68,0,0
110,Siddarth Kaul,Sunrisers Hyderabad,Right,Right-arm fast,BOWLER,46,10,6,12,7,3.0,28,42.86,0,0,0,0,0,46,46,1005,1449,51,4/29,4/29,8.65,28.41,19.71,0,0
111,T Natarajan,Sunrisers Hyderabad,Left,Left-arm fast,BOWLER,22,3,3,3,3,0.0,5,60.0,0,0,0,0,0,22,22,453,619,18,2/24,2/24,8.2,34.39,25.17,0,0
112,Basil Thampi,Sunrisers Hyderabad,Right,Right-arm fast,BOWLER,20,8,7,32,13,32.0,35,91.43,0,0,0,1,1,20,20,425,694,17,3/29,3/29,9.8,40.82,25.0,0,0
113,Khaleel Ahmed,Sunrisers Hyderabad,Right,Left-arm fast,BOWLER,17,2,0,0,0,0.0,3,0.0,0,0,0,0,0,17,17,381,567,27,3/30,3/30,8.93,21.0,14.11,0,0
114,Sandeep Sharma,Sunrisers Hyderabad,Right,Right-arm fast,BOWLER,92,23,18,44,9,8.8,57,77.19,0,0,0,3,0,92,92,2057,2646,109,4/20,4/20,7.72,24.28,18.87,0,0
115,Shahbaz Nadeem,Sunrisers Hyderabad,Right,Left-arm orthodox,BOWLER,71,21,8,39,6,3.0,86,45.35,0,0,0,2,0,71,69,1391,1748,47,3/16,3/16,7.54,37.19,29.6,0,0
116,Jagadeesha Suchith,Sunrisers Hyderabad,Left,Left-arm orthodox,BOWLER,15,7,5,54,34,27.0,47,114.89,0,0,0,4,2,15,14,270,396,12,2/14,2/14,8.8,33.0,22.5,0,0
117,Mujeeb Ur Rahman,Sunrisers Hyderabad,Right,Right-arm offbreak,BOWLER,18,6,3,11,10,3.67,14,78.57,0,0,0,2,0,18,18,410,563,17,3/27,3/27,8.24,33.12,24.12,0,0
118,MS Dhoni,Chennai Super Kings,Right,Right-arm medium,WICKET KEEPER,204,182,69,4632,84,40.99,3387,136.76,0,0,23,313,216,204,-,-,-,-,-,-,-,-,-,-,-
119,N Jagadeesan,Chennai Super Kings,Right,,WICKET KEEPER,5,2,0,33,33,16.5,29,113.79,0,0,0,4,0,5,-,-,-,-,-,-,-,-,-,-,-
120,Robin Uthappa,Chennai Super Kings,Right,Right-arm medium,WICKET KEEPER,189,182,17,4607,87,27.92,3544,129.99,0,0,24,454,163,189,-,-,-,-,-,-,-,-,-,-,-
121,Rishabh Pant,Delhi Capitals,Left,,WICKET KEEPER,68,68,9,2079,128,35.24,1368,151.97,1,0,12,183,103,68,-,-,-,-,-,-,-,-,-,-,-
122,Vishnu Vinod,Delhi Capitals,Right,,WICKET KEEPER,3,3,0,19,9,6.33,26,73.08,0,0,0,1,1,3,-,-,-,-,-,-,-,-,-,-,-
123,Sam Billings,Delhi Capitals,Right,,WICKET KEEPER,22,19,0,334,56,17.58,250,133.6,0,0,3,31,10,22,-,-,-,-,-,-,-,-,-,-,-
124,KL Rahul,Punjab Kings,Right,,WICKET KEEPER,81,72,13,2647,132,44.86,1949,135.81,2,0,21,234,104,81,-,-,-,-,-,-,-,-,-,-,-
125,Nicholas Pooran,Punjab Kings,Left,,WICKET KEEPER,21,20,4,521,77,32.56,315,165.4,0,0,2,32,39,21,-,-,-,-,-,-,-,-,-,-,-
126,Prabhsimran Singh,Punjab Kings,Right,,WICKET KEEPER,3,3,0,31,16,10.33,32,96.88,0,0,0,3,1,3,-,-,-,-,-,-,-,-,-,-,-
127,Dinesh Karthik,Kolkata Knight Riders,Right,,WICKET KEEPER,196,177,30,3823,97,26.01,2949,129.64,0,0,19,377,105,196,-,-,-,-,-,-,-,-,-,-,-
128,Tim Seifert,Kolkata Knight Riders,Right,,WICKET KEEPER,196,177,30,3823,97,26.01,2949,129.64,0,0,19,377,105,196,-,-,-,-,-,-,-,-,-,-,-
129,Sheldon Jackson,Kolkata Knight Riders,Right,,WICKET KEEPER,4,3,1,38,16,19.0,31,122.58,0,0,0,5,0,4,-,-,-,-,-,-,-,-,-,-,-
130,Ishan Kishan,Mumbai Indians,Left,,WICKET KEEPER,51,46,4,1211,99,28.83,885,136.84,0,0,7,100,64,51,-,-,-,-,-,-,-,-,-,-,-
131,Aditya Tare,Mumbai Indians,Right,,WICKET KEEPER,35,28,4,339,59,14.12,273,124.18,0,0,1,40,11,35,-,-,-,-,-,-,-,-,-,-,-
132,Quinton de Kock,Mumbai Indians,Left,,WICKET KEEPER,66,66,4,1959,108,31.6,1467,133.54,1,0,14,201,76,66,-,-,-,-,-,-,-,-,-,-,-
133,Sanju Samson,Rajasthan Royals,Right,,WICKET KEEPER,107,103,10,2584,102,27.78,1932,133.75,2,0,13,191,115,107,-,-,-,-,-,-,-,-,-,-,-
134,Jos Buttler,Rajasthan Royals,Right,,WICKET KEEPER,58,57,8,1714,95,34.98,1146,149.56,0,0,11,167,77,58,-,-,-,-,-,-,-,-,-,-,-
